,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,Fair Value
900,ME Equity LLC,Franchisor in the massage industry,"Common stock (3,000,000 shares)",0,9/27/2012,3.0,3.1
901,Movati Athletic (Group) Inc.,Premier health club operator,First lien senior secured loan ($5.6 par due 10/2024),"7.45% (CDOR + 3.70% Cash, 0.50% PIK/Q)",10/5/2017,5.4,5.1
902,"OTG Management, LLC",Airport restaurant operator,"Class A preferred units (3,000,000 units)",0,8/26/2016,25.3,13.1
903,"OTG Management, LLC",Airport restaurant operator,"Common units (3,000,000 units)",0,1/5/2011,3.0,0.0
904,"OTG Management, LLC",Airport restaurant operator,Warrant to purchase up to 7.73% of common units,0,6/19/2008,0.1,0.0
906,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (16)",Hotel operator,First lien senior secured revolving loan ($9.6 par due 07/2023),"8.00% (LIBOR + 5.75% Cash, 1.25% PIK/Q)",4/12/2018,9.6,9.1
908,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (16)",Hotel operator,First lien senior secured loan ($16.8 par due 07/2023),"8.01% (LIBOR + 5.75% Cash, 1.25% PIK/Q)",4/12/2018,16.8,16.0
909,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (16)",Hotel operator,First lien senior secured loan ($1.4 par due 07/2023),"8.01% (LIBOR + 5.75% Cash, 1.25% PIK/Q)",4/12/2018,1.4,1.4
910,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (16)",Hotel operator,First lien senior secured loan ($6.4 par due 07/2023),"8.00% (LIBOR + 5.75% Cash, 1.25% PIK/Q)",12/27/2019,6.4,6.0
911,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (16)",Hotel operator,"Preferred membership units (996,833 units)",0,7/15/2016,1.0,0.8
913,"Redwood Services, LLC and Redwood Services Holdco, LLC (16)",Provider of residential HVAC and plumbing services,First lien senior secured loan ($1.0 par due 12/2025),8.00% (LIBOR + 7.00%/M),12/22/2021,1.0,1.0
914,"Redwood Services, LLC and Redwood Services Holdco, LLC (16)",Provider of residential HVAC and plumbing services,First lien senior secured loan ($12.5 par due 12/2025),8.00% (LIBOR + 7.00%/M),12/31/2020,12.5,12.5
915,"Redwood Services, LLC and Redwood Services Holdco, LLC (16)",Provider of residential HVAC and plumbing services,"Series D units (9,210,087 units)",8.00% PIK,12/31/2020,9.6,11.9
917,"Safe Home Security, Inc., Security Systems Inc., Safe Home Monitoring, Inc., National Protective Services, Inc., Bright Integrations LLC and Medguard Alert, Inc. (16)",Provider of safety systems for business and residential customers,First lien senior secured loan ($48.2 par due 08/2024),8.25% (LIBOR + 7.25%/M),8/4/2020,48.2,48.2
918,"SV-Burton Holdings, LLC and LBC Breeze Holdings LLC (16)",Provider of HVAC and plumbing services to residential and commercial customers,First lien senior secured loan ($8.2 par due 12/2027),6.50% (LIBOR + 5.50%/M),12/6/2021,8.2,8.1
919,"SV-Burton Holdings, LLC and LBC Breeze Holdings LLC (16)",Provider of HVAC and plumbing services to residential and commercial customers,"Class A units (4,296 units)",0,12/6/2021,4.3,4.3
921,"Taymax Group, L.P., Taymax Group G.P., LLC, PF Salem Canada ULC and TCP Fit Parent, L.P. (16)",Planet Fitness franchisee,First lien senior secured revolving loan ($0.6 par due 07/2024),"6.25% (LIBOR + 4.75% Cash, 0.50% PIK/Q)",7/31/2018,0.6,0.6
922,"Taymax Group, L.P., Taymax Group G.P., LLC, PF Salem Canada ULC and TCP Fit Parent, L.P. (16)",Planet Fitness franchisee,First lien senior secured revolving loan ($0.1 par due 07/2024),"6.75% (LIBOR + 5.25% Cash, 0.50% PIK/Q)",7/31/2018,0.1,0.1
923,"Taymax Group, L.P., Taymax Group G.P., LLC, PF Salem Canada ULC and TCP Fit Parent, L.P. (16)",Planet Fitness franchisee,First lien senior secured loan ($0.3 par due 07/2025),"6.75% (LIBOR + 4.25% Cash, 0.50% PIK/Q)",3/5/2020,0.3,0.3
924,"Taymax Group, L.P., Taymax Group G.P., LLC, PF Salem Canada ULC and TCP Fit Parent, L.P. (16)",Planet Fitness franchisee,First lien senior secured loan ($1.0 par due 07/2025),"6.25% (LIBOR + 4.75% Cash, 0.50% PIK/Q)",3/5/2020,1.0,1.0
925,"Taymax Group, L.P., Taymax Group G.P., LLC, PF Salem Canada ULC and TCP Fit Parent, L.P. (16)",Planet Fitness franchisee,"Class A units (37,020 units)",0,7/31/2018,3.8,2.4
927,"The Alaska Club Partners, LLC, Athletic Club Partners LLC and The Alaska Club, Inc. (16)",Premier health club operator,First lien senior secured loan ($15.4 par due 12/2024),"10.50% (Base Rate + 5.00% Cash, 2.00% PIK/Q)",12/16/2019,15.4,14.3
928,"The Arcticom Group, LLC and AMCP Mechanical Holdings, LP (16)","Refrigeration, heating, ventilation and air conditioning services provider",First lien senior secured revolving loan ($3.0 par due 12/2027),6.75% (LIBOR + 6.00%/Q),12/22/2021,3.0,2.9
929,"The Arcticom Group, LLC and AMCP Mechanical Holdings, LP (16)","Refrigeration, heating, ventilation and air conditioning services provider",First lien senior secured revolving loan ($2.8 par due 12/2027),8.5% (Base Rate + 5.00%/Q),12/22/2021,2.8,2.7
930,"The Arcticom Group, LLC and AMCP Mechanical Holdings, LP (16)","Refrigeration, heating, ventilation and air conditioning services provider",First lien senior secured loan ($12.1 par due 12/2027),6.75% (LIBOR + 6.00%/Q),12/22/2021,12.1,12.0
931,"The Arcticom Group, LLC and AMCP Mechanical Holdings, LP (16)","Refrigeration, heating, ventilation and air conditioning services provider","Class A units (4,897,000 units)",0,12/22/2021,4.9,4.9
933,"YE Brands Holdings, LLC (16)",Sports camp operator,First lien senior secured loan ($8.0 par due 10/2027),6.25% (LIBOR + 5.50%/Q),10/18/2021,8.0,7.9
937,"Atlas Intermediate III, L.L.C. (16)",Specialty chemicals distributor,First lien senior secured revolving loan ($0.1 par due 04/2025),6.50% (LIBOR + 5.50%/Q),4/29/2019,0.1,0.1
938,"Atlas Intermediate III, L.L.C. (16)",Specialty chemicals distributor,First lien senior secured loan ($0.1 par due 04/2025),6.50% (LIBOR + 5.50%/Q),11/19/2021,0.1,0.1
939,"Atlas Intermediate III, L.L.C. (16)",Specialty chemicals distributor,First lien senior secured loan ($3.9 par due 04/2025),6.75% (LIBOR + 5.75%/Q),3/1/2022,3.9,3.9
940,"Atlas Intermediate III, L.L.C. (16)",Specialty chemicals distributor,First lien senior secured loan ($0.2 par due 04/2025),6.50% (LIBOR + 5.50%/Q),3/31/2021,0.2,0.2
942,"Bamboo Purchaser, Inc. (16)","Provider of nursery, garden, and greenhouse products",First lien senior secured loan ($39.0 par due 11/2027),7.01% (LIBOR + 6.00%/Q),11/5/2021,39.0,38.6
943,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (16)",Provider of visual communications solutions,First lien senior secured loan ($0.1 par due 03/2025),6.65% (LIBOR + 5.65%/M),6/25/2021,0.1,0.1
944,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (16)",Provider of visual communications solutions,First lien senior secured loan ($15.9 par due 03/2025),6.65% (LIBOR + 5.65%/M),3/13/2019,15.9,15.9
945,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (16)",Provider of visual communications solutions,First lien senior secured loan ($0.1 par due 03/2025),6.65% (LIBOR + 5.65%/M),8/27/2019,0.1,0.1
946,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (16)",Provider of visual communications solutions,Common units (600 units),0,3/13/2019,0.6,1.0
948,"GPM Investments, LLC and ARKO Corp.",Convenience store operator,"Common stock (2,088,478 shares)",0,12/22/2020,19.8,24.3
949,"GPM Investments, LLC and ARKO Corp.",Convenience store operator,"Warrant to purchase up to 1,088,780 common stock (expires 12/2025)",0,12/22/2020,1.6,2.0
951,"Marcone Yellowstone Buyer Inc. and Marcone Yellowstone Holdings, LLC (16)",Distributor of OEM appliance aftermarket parts,First lien senior secured loan ($40.0 par due 06/2028),6.50% (LIBOR + 5.50%/Q),6/23/2021,40.0,40.0
952,"Marcone Yellowstone Buyer Inc. and Marcone Yellowstone Holdings, LLC (16)",Distributor of OEM appliance aftermarket parts,First lien senior secured loan ($6.9 par due 06/2028),6.51% (LIBOR + 5.50%/Q),12/31/2021,6.9,6.9
953,"Marcone Yellowstone Buyer Inc. and Marcone Yellowstone Holdings, LLC (16)",Distributor of OEM appliance aftermarket parts,"Class A common units (5,578 units)",0,6/23/2021,5.8,10.2
955,"McKenzie Creative Brands, LLC (16)","Designer, manufacturer and distributor of hunting-related supplies",First lien senior secured loan ($84.5 par due 09/2023),6.75% (LIBOR + 5.75%/Q),9/18/2014,84.5,84.5
956,"McKenzie Creative Brands, LLC (16)","Designer, manufacturer and distributor of hunting-related supplies",First lien senior secured loan ($5.5 par due 09/2023),6.75% (LIBOR + 5.75%/M),9/18/2014,5.5,5.5
958,"Moon Valley Nursery of Arizona Retail, LLC, Moon Valley Nursery Farm Holdings, LLC, Moon Valley Nursery RE Holdings LLC, and Stonecourt IV Partners, LP (16)",Operator of retail and wholesale tree and plant nurseries,First lien senior secured loan ($75.9 par due 10/2027),6.75% (LIBOR + 5.75%/Q),10/8/2021,75.9,75.2
959,"Moon Valley Nursery of Arizona Retail, LLC, Moon Valley Nursery Farm Holdings, LLC, Moon Valley Nursery RE Holdings LLC, and Stonecourt IV Partners, LP (16)",Operator of retail and wholesale tree and plant nurseries,First lien senior secured loan ($2.9 par due 10/2027),6.75% (LIBOR + 5.75%/Q),10/8/2021,2.9,2.9
960,"Moon Valley Nursery of Arizona Retail, LLC, Moon Valley Nursery Farm Holdings, LLC, Moon Valley Nursery RE Holdings LLC, and Stonecourt IV Partners, LP (16)",Operator of retail and wholesale tree and plant nurseries,"Limited partnership interests (21,939,151 interests)",0,10/8/2021,21.9,21.9
962,"North Haven Falcon Buyer, LLC and North Haven Falcon Holding Company, LLC (16)",Manufacturer of aftermarket golf cart parts and accessories,First lien senior secured loan ($25.5 par due 05/2027),7.00% (LIBOR + 6.00%/Q),5/19/2021,25.5,25.2
963,"North Haven Falcon Buyer, LLC and North Haven Falcon Holding Company, LLC (16)",Manufacturer of aftermarket golf cart parts and accessories,"Class A units (50,000 units)",0,5/19/2021,5.0,4.9
965,Reddy Ice LLC (16),Packaged ice manufacturer and distributor,First lien senior secured revolving loan ($2.0 par due 07/2024),9.00% (Base Rate + 5.50%/Q),7/1/2019,2.0,2.0
967,Reddy Ice LLC (16),Packaged ice manufacturer and distributor,First lien senior secured loan ($13.0 par due 07/2025),7.50% (LIBOR + 6.50%/Q),10/20/2021,13.0,13.0
968,Reddy Ice LLC (16),Packaged ice manufacturer and distributor,First lien senior secured loan ($56.4 par due 07/2025),7.50% (LIBOR + 6.50%/Q),7/1/2019,56.4,56.4
969,Reddy Ice LLC (16),Packaged ice manufacturer and distributor,First lien senior secured loan ($5.3 par due 07/2025),7.50% (LIBOR + 6.50%/Q),7/1/2019,5.3,5.3
970,Reddy Ice LLC (16),Packaged ice manufacturer and distributor,First lien senior secured loan ($4.3 par due 07/2025),7.50% (LIBOR + 6.50%/Q),11/16/2020,4.3,4.3
972,"US Salt Investors, LLC and Emerald Lake Pearl Acquisition-A, L.P. (16)","Producer and packager of compressed, household, and packaged salt",First lien senior secured loan ($26.6 par due 07/2028),6.51% (LIBOR + 5.50%/Q),7/19/2021,26.6,26.3
973,"US Salt Investors, LLC and Emerald Lake Pearl Acquisition-A, L.P. (16)","Producer and packager of compressed, household, and packaged salt",Limited partner interests (0.4% interest),0,7/19/2021,0.8,0.7
977,American Seafoods Group LLC and American Seafoods Partners LLC,Harvester and processor of seafood,"Class A units (77,922 units)",0,8/19/2015,0.1,0.3
978,American Seafoods Group LLC and American Seafoods Partners LLC,Harvester and processor of seafood,"Warrant to purchase up to 7,422,078 Class A units (expires 8/2035)",0,8/19/2015,7.4,26.2
980,"Berner Food & Beverage, LLC (16)",Supplier of dairy-based food and beverage products,First lien senior secured revolving loan ($0.8 par due 07/2026),9.00% (Base Rate + 5.50%/S),7/30/2021,0.8,0.8
981,"Bragg Live Food Products, LLC and SPC Investment Co., L.P. (4)(16)",Health food company,First lien senior secured revolving loan ($3.5 par due 12/2025),7.25% (LIBOR + 6.25%/Q),3/11/2019,3.5,3.3
982,"Bragg Live Food Products, LLC and SPC Investment Co., L.P. (4)(16)",Health food company,First lien senior secured loan ($39.3 par due 12/2025),7.26% (LIBOR + 6.25%/Q),12/28/2020,39.3,36.9
983,"Bragg Live Food Products, LLC and SPC Investment Co., L.P. (4)(16)",Health food company,"Common units (14,850 units)",0,3/11/2019,11.5,9.0
985,CHG PPC Parent LLC & PPC CHG Blocker LLC,Diversified food products manufacturer,Second lien senior secured loan ($94.6 par due 12/2029),7.25% (LIBOR + 6.75%/M),12/8/2021,94.6,92.7
986,CHG PPC Parent LLC & PPC CHG Blocker LLC,Diversified food products manufacturer,Common units (58.56 units),0,12/10/2021,3.0,3.0
988,"Florida Food Products, LLC",Provider of plant extracts and juices,First lien senior secured loan ($4.3 par due 10/2028),5.75% (LIBOR + 5.00%/M),10/18/2021,4.3,4.3
989,"Florida Food Products, LLC",Provider of plant extracts and juices,Second lien senior secured loan ($71.8 par due 10/2029),8.75% (LIBOR + 8.00%/M),10/18/2021,71.8,71.1
991,"Gehl Foods, LLC and GF Parent LLC","Producer of low-acid, aseptic food and beverage products","Class A preferred units (2,940 units)",0,5/13/2015,2.9,0.0
992,"Gehl Foods, LLC and GF Parent LLC","Producer of low-acid, aseptic food and beverage products","Class A common units (60,000 units)",0,5/13/2015,0.1,0.0
993,"Gehl Foods, LLC and GF Parent LLC","Producer of low-acid, aseptic food and beverage products",Class B common units (0.26 units),0,5/13/2015,0.0,0.0
995,Hometown Food Company (16),Food distributor,First lien senior secured revolving loan,0,8/31/2018,0.0,0.0
996,"KC Culinarte Intermediate, LLC",Manufacturer of fresh refrigerated and frozen food products,First lien senior secured loan ($29.0 par due 08/2025),4.75% (LIBOR + 3.75%/M),1/24/2020,28.8,27.9
997,"KC Culinarte Intermediate, LLC",Manufacturer of fresh refrigerated and frozen food products,Second lien senior secured loan ($35.7 par due 08/2026),8.75% (LIBOR + 7.75%/M),8/24/2018,35.7,33.2
999,"Manna Pro Products, LLC (16)",Manufacturer and supplier of specialty nutrition and care products for animals,First lien senior secured revolving loan ($2.8 par due 12/2026),7.00% (LIBOR + 6.00%/M),12/10/2020,2.8,2.8
1001,"RF HP SCF Investor, LLC",Branded specialty food company,Membership interest (10.08% interest),0,12/22/2016,12.5,19.4
1002,"Teasdale Foods, Inc. and Familia Group Holdings Inc.","Provider of beans, sauces and hominy to the retail, foodservice and wholesale channels",First lien senior secured loan ($78.3 par due 12/2025),"8.00% PIK (LIBOR + 6.60% Cash, 0.40% PIK/Q)",12/18/2020,78.3,67.4
1003,"Teasdale Foods, Inc. and Familia Group Holdings Inc.","Provider of beans, sauces and hominy to the retail, foodservice and wholesale channels","Warrant to purchase up to 57,827 shares of common stock (expires 2/2034)",0,2/4/2019,0.0,0.0
1005,"Triton Water Holdings, Inc.",Producer and provider of bottled water brands,First lien senior secured loan ($1.0 par due 03/2028),4.51% (LIBOR + 3.50%/Q),3/17/2021,1.0,1.0
1006,"Triton Water Holdings, Inc.",Producer and provider of bottled water brands,Senior subordinated loan ($0.1 par due 04/2029),6.25%,3/17/2021,0.1,0.1
1008,"Watermill Express, LLC and Watermill Express Holdings, LLC (16)",Owner and operator of self-service water and ice stations,First lien senior secured loan ($19.4 par due 04/2027),6.50% (LIBOR + 5.50%/Q),4/20/2021,19.4,19.4
1009,"Watermill Express, LLC and Watermill Express Holdings, LLC (16)",Owner and operator of self-service water and ice stations,"Class A units (282,200 units)",8.00% PIK,4/20/2021,3.0,2.5
1011,"Winebow Holdings, Inc. and The Vintner Group, Inc.",Importer and distributor of wine,First lien senior secured loan ($28.2 par due 07/2025),7.25% (LIBOR + 6.25%/M),4/19/2021,28.2,28.2
1014,Aventine Intermediate LLC & Aventine Holdings II LLC (16),Media and production company,First lien senior secured loan ($8.7 par due 06/2027),6.93% (LIBOR + 6.00%/Q),12/22/2021,8.7,8.7
1015,Aventine Intermediate LLC & Aventine Holdings II LLC (16),Media and production company,Senior subordinated loan ($35.6 par due 12/2030),10.25%,12/22/2021,35.6,35.3
1017,"CMW Parent LLC (fka Black Arrow, Inc.)",Multiplatform media firm,Series A units (32 units),0,9/11/2015,0.0,0.0
1018,"Global Music Rights, LLC (16)",Music right management company,First lien senior secured loan ($7.9 par due 08/2028),6.76% (LIBOR + 5.75%/Q),8/27/2021,7.9,7.9
1019,Miami Beckham United LLC,American professional soccer club,"Class A preferred units (85,000 units)",8.50% PIK,9/17/2021,88.9,88.9
1020,OUTFRONT Media Inc.,Provider of out-of-home advertising,"Series A convertible perpetual preferred stock(25,000 shares)",7.00%,4/20/2020,25.0,45.5
1021,Padres L.P. (16),Sports and entertainment,First lien senior secured loan ($92.8 par due 03/2027),6.00% (LIBOR + 5.00%/M),3/18/2021,92.8,92.8
1022,"Production Resource Group, L.L.C. and PRG III, LLC (4)(16)","Provider of rental equipment, labor, production management, scenery, and other products to various entertainment end-markets",First lien senior secured loan ($0.8 par due 08/2024),"8.50% (Base Rate + 2.50% Cash, 2.50% PIK/Q)",6/22/2021,0.8,0.8
1023,"Production Resource Group, L.L.C. and PRG III, LLC (4)(16)","Provider of rental equipment, labor, production management, scenery, and other products to various entertainment end-markets",First lien senior secured loan ($6.5 par due 08/2024),"8.50% (Libor  + 5.00% Cash,  2.50% PIK/Q)",8/5/2021,6.5,6.5
1024,"Production Resource Group, L.L.C. and PRG III, LLC (4)(16)","Provider of rental equipment, labor, production management, scenery, and other products to various entertainment end-markets",First lien senior secured loan ($15.1 par due 08/2024),"6.00% (LIBOR +1.88% Cash, 3.12% PIK/Q)",7/31/2020,15.0,15.0
1025,"Production Resource Group, L.L.C. and PRG III, LLC (4)(16)","Provider of rental equipment, labor, production management, scenery, and other products to various entertainment end-markets",First lien senior secured loan ($35.8 par due 08/2024),"9.75% (LIBOR + 3.00% Cash, 6.50% PIK/Q)",8/21/2018,35.8,35.8
1026,"Production Resource Group, L.L.C. and PRG III, LLC (4)(16)","Provider of rental equipment, labor, production management, scenery, and other products to various entertainment end-markets","Class A units (113,617 units)",0,10/6/2020,4.9,2.5
1028,"Professional Fighters League, LLC and PFL MMA, Inc.",Mixed martial arts league,First lien senior secured loan ($15.8 par due 01/2026),10.00% PIK,1/20/2021,14.5,14.2
1029,"Professional Fighters League, LLC and PFL MMA, Inc.",Mixed martial arts league,"Warrant to purchase up to 3,223,122 shares of common stock (expires 1/2027)",0,1/20/2021,1.7,1.8
1032,Storm Investment S.a.r.l.,Spanish soccer club,First lien senior secured loan ($68.3 par due 06/2029),3.75% (Euribor + 3.75%/Q),6/24/2021,73.6,68.3
1033,Storm Investment S.a.r.l.,Spanish soccer club,"Ordinary shares (3,958 shares)",0,6/24/2021,0.0,0.0
1034,Storm Investment S.a.r.l.,Spanish soccer club,"Class A redeemable shares (3,297,791 shares)",0,6/24/2021,1.6,1.7
1035,Storm Investment S.a.r.l.,Spanish soccer club,"Class B redeemable shares (3,297,791 shares)",0,6/24/2021,1.6,1.7
1036,Storm Investment S.a.r.l.,Spanish soccer club,"Class C redeemable shares (3,297,791 shares)",0,6/24/2021,1.6,1.7
1037,Storm Investment S.a.r.l.,Spanish soccer club,"Class D redeemable shares (3,297,791 shares)",0,6/24/2021,1.6,1.7
1038,Storm Investment S.a.r.l.,Spanish soccer club,"Class E redeemable shares (3,297,791 shares)",0,6/24/2021,1.6,1.7
1039,Storm Investment S.a.r.l.,Spanish soccer club,"Class F redeemable shares (3,297,791 shares)",0,6/24/2021,1.6,1.7
1040,Storm Investment S.a.r.l.,Spanish soccer club,"Class G redeemable shares (3,297,791 shares)",0,6/24/2021,1.6,1.7
1041,Storm Investment S.a.r.l.,Spanish soccer club,"Class H redeemable shares (3,297,791 shares)",0,6/24/2021,1.6,1.7
1042,Storm Investment S.a.r.l.,Spanish soccer club,"Class I redeemable shares (3,297,791 shares)",0,6/24/2021,1.6,1.7
1044,"The Teaching Company Holdings, Inc.",Education publications provider,"Preferred stock (10,663 shares)",0,9/29/2006,1.1,3.0
1045,"The Teaching Company Holdings, Inc.",Education publications provider,"Common stock (15,393 shares)",0,9/29/2006,0.0,0.8
1049,"Abzena Holdings, Inc. and Astro Group Holdings Ltd. (16)","Organization providing discovery, development and manufacturing services to the pharmaceutical and biotechnology industries",First lien senior secured loan ($44.8 par due 05/2026),"11.50% (LIBOR + 4.75% Cash, 5.75% PIK/Q)",5/7/2021,44.8,44.8
1050,"Abzena Holdings, Inc. and Astro Group Holdings Ltd. (16)","Organization providing discovery, development and manufacturing services to the pharmaceutical and biotechnology industries","Class A ordinary shares (1,237,500 shares)",0,5/7/2021,2.5,2.8
1052,"Alcami Corporation and ACM Holdings I, LLC (16)",Outsourced drug development services provider,First lien senior secured loan ($29.1 par due 7/2025),4.71% (LIBOR + 4.25%/Q),0,29.1,28.0
1053,"Alcami Corporation and ACM Holdings I, LLC (16)",Outsourced drug development services provider,Second lien senior secured loan ($77.5 par due 07/2026),8.46% (LIBOR + 8.00%/M),7/12/2018,77.1,69.8
1054,"Alcami Corporation and ACM Holdings I, LLC (16)",Outsourced drug development services provider,"Common units (4,347,590 units)",0,7/12/2018,41.3,23.2
1056,"Amryt Pharmaceuticals, Inc.","Biopharmaceutical company dedicated to acquiring, developing and commercializing novel therapeutics",First lien senior secured loan ($12.7 par due 02/2027),7.80% (SOFR + 6.75%/S),2/18/2022,12.7,12.6
1057,"Cobalt Buyer Sub, Inc., Cobalt Holdings I, LP, and Cobalt Intermediate I, Inc. (16)",Provider of biological products to life science and pharmaceutical companies,First lien senior secured revolving loan ($1.5 par due 10/2027),6.00% (LIBOR + 5.25%/M),10/1/2021,1.5,1.4
1058,"Cobalt Buyer Sub, Inc., Cobalt Holdings I, LP, and Cobalt Intermediate I, Inc. (16)",Provider of biological products to life science and pharmaceutical companies,First lien senior secured loan ($14.6 par due 10/2028),6.00% (LIBOR + 5.25%/M),10/1/2021,14.6,14.4
1059,"Cobalt Buyer Sub, Inc., Cobalt Holdings I, LP, and Cobalt Intermediate I, Inc. (16)",Provider of biological products to life science and pharmaceutical companies,"Series A preferred shares (60,236 shares)",10.75% PIK (LIBOR + 10.00%/Q),10/1/2021,63.5,63.5
1060,"Cobalt Buyer Sub, Inc., Cobalt Holdings I, LP, and Cobalt Intermediate I, Inc. (16)",Provider of biological products to life science and pharmaceutical companies,"Preferred units (3,020 units)",8.00% PIK,10/1/2021,3.1,0.3
1061,"Cobalt Buyer Sub, Inc., Cobalt Holdings I, LP, and Cobalt Intermediate I, Inc. (16)",Provider of biological products to life science and pharmaceutical companies,"Class A common units (30,500 units)",0,10/1/2021,0.0,3.1
1064,"Covaris Intermediate 3, LLC & Covaris Parent, LLC (16)",Provider of advanced pre-analytical sample preparation technologies for life and analytical science,First lien senior secured loan ($23.7 par due 01/2028),6.00% (LIBOR + 5.25%/Q),1/21/2022,23.7,23.5
1065,"Covaris Intermediate 3, LLC & Covaris Parent, LLC (16)",Provider of advanced pre-analytical sample preparation technologies for life and analytical science,"Class A-2 units (4,772 units)",0,1/21/2022,4.8,4.8
1067,"NMC Skincare Intermediate Holdings II, LLC (16)","Developer, manufacturer and marketer of skincare products",First lien senior secured revolving loan ($7.3 par due 10/2024),6.00% (LIBOR + 5.00%/Q),10/31/2018,7.3,7.3
1068,"NMC Skincare Intermediate Holdings II, LLC (16)","Developer, manufacturer and marketer of skincare products",First lien senior secured loan ($32.2 par due 10/2024),6.00% (LIBOR + 5.00%/Q),10/31/2018,32.2,32.2
1070,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P. (16)",Contract research organization providing research and development and testing of medical devices,First lien senior secured loan ($0.1 par due 09/2027),6.50% (SOFR + 5.75%/Q),9/13/2021,0.1,0.1
1071,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P. (16)",Contract research organization providing research and development and testing of medical devices,First lien senior secured loan ($47.8 par due 09/2027),6.50% (SOFR + 5.75%/Q),9/15/2020,47.8,47.8
1072,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P. (16)",Contract research organization providing research and development and testing of medical devices,First lien senior secured loan ($0.1 par due 09/2027),6.50% (SOFR + 5.75%/Q),9/15/2020,0.1,0.1
1073,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P. (16)",Contract research organization providing research and development and testing of medical devices,First lien senior secured loan ($4.8 par due 09/2027),6.52% (SOFR + 5.75%/Q),12/29/2020,4.8,4.8
1074,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P. (16)",Contract research organization providing research and development and testing of medical devices,First lien senior secured loan ($2.6 par due 09/2027),6.50% (SOFR + 5.75%/Q),2/26/2021,2.6,2.6
1075,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P. (16)",Contract research organization providing research and development and testing of medical devices,"Class A preferred units (13,528 units)",8.00% PIK,9/15/2020,15.2,34.2
1077,TerSera Therapeutics LLC (16),Acquirer and developer of specialty therapeutic pharmaceutical products,First lien senior secured loan ($5.1 par due 03/2025),6.61% (LIBOR + 5.60%/Q),5/3/2017,5.0,5.1
1078,TerSera Therapeutics LLC (16),Acquirer and developer of specialty therapeutic pharmaceutical products,First lien senior secured loan ($2.1 par due 03/2025),6.61% (LIBOR + 5.60%/Q),9/27/2018,2.1,2.1
1079,TerSera Therapeutics LLC (16),Acquirer and developer of specialty therapeutic pharmaceutical products,First lien senior secured loan ($1.8 par due 03/2025),6.61% (LIBOR + 5.60%/Q),4/1/2019,1.8,1.8
1081,Vertice Pharma UK Parent Limited,Manufacturer and distributor of generic pharmaceutical products,"Preferred shares (40,662 shares)",0,12/21/2015,0.3,0.0
1084,"Balrog Acquisition, Inc., Balrog Topco, Inc. and Balrog Parent, L.P.",Manufacturer and distributor of specialty bakery ingredients,Second lien senior secured loan ($29.5 par due 09/2029),7.50% (LIBOR + 7.00%/Q),9/3/2021,29.5,29.5
1085,"Balrog Acquisition, Inc., Balrog Topco, Inc. and Balrog Parent, L.P.",Manufacturer and distributor of specialty bakery ingredients,"Class A preferred units (5,484 units)",8.00% PIK,9/3/2021,5.7,5.5
1086,"Balrog Acquisition, Inc., Balrog Topco, Inc. and Balrog Parent, L.P.",Manufacturer and distributor of specialty bakery ingredients,"Series A preferred shares (21,921 shares)",11.00% PIK,9/3/2021,23.3,23.3
1088,"Continental Café, LLC and Infinity Ovation Yacht Charters, LLC (16)",Diversified contract food service provider,First lien senior secured loan ($15.7 par due 11/2027),8.00% (LIBOR + 7.00%/Q),11/30/2021,15.7,15.5
1089,"DecoPac, Inc. and KCAKE Holdings Inc. (16)",Supplier of cake decorating solutions and products to in-store bakeries,First lien senior secured revolving loan ($5.2 par due 05/2026),7.00% (LIBOR + 6.00%/M),5/14/2021,5.2,5.2
1090,"DecoPac, Inc. and KCAKE Holdings Inc. (16)",Supplier of cake decorating solutions and products to in-store bakeries,First lien senior secured loan ($148.9 par due 05/2028),"9.01% (LIBOR + 6.00% Cash, 2.00% PIK/Q)",5/14/2021,148.9,148.9
1091,"DecoPac, Inc. and KCAKE Holdings Inc. (16)",Supplier of cake decorating solutions and products to in-store bakeries,"Common stock (9,599 shares)",0,5/14/2021,9.6,10.0
1093,"FS Squared Holding Corp. and FS Squared, LLC (16)",Provider of on-site vending and micro market solutions,First lien senior secured revolving loan,0,3/28/2019,0.0,0.0
